"routeid","vehicleid","t1","lon1","lat1","t2","lon2","lat2","bear","tdiff","p_index1","p_index2","bear","p_lon1","p_lat1","p_lon2","p_lat2","dist","speed"
1054553,39187,2017-07-20 00:24:49,24.0357366,49.8138266,2017-07-20 00:25:49,24.0370533,49.8133933,117.020331343895,60,748,751,118.236660415527,24.03581,49.81388,24.037124805,49.8134243769,0.108118531639018,6.48711189834109
1054553,39187,2017-07-20 00:25:49,24.0370533,49.8133933,2017-07-20 00:26:49,24.041105,49.8118483,120.578602678684,60,752,763,120.976017914082,24.037124805,49.8134243769,24.0410346541,49.811909763925,0.329289912568208,19.7573947540925
1054553,39187,2017-07-20 00:26:49,24.041105,49.8118483,2017-07-20 00:27:49,24.043705,49.8109616,117.855072193931,60,764,769,118.749857506462,24.0410346541,49.811909763925,24.0436296998,49.8109910168,0.21264037191257,12.7584223147542
1054553,39187,2017-07-20 00:27:49,24.043705,49.8109616,2017-07-20 00:28:49,24.046645,49.8085066,142.301442088185,60,770,783,142.560139911494,24.0436296998,49.8109910168,24.0465500875,49.8085295051,0.389385144866019,23.3631086919612
1054553,39187,2017-07-20 00:28:49,24.046645,49.8085066,2017-07-20 00:29:49,24.0467533,49.8002866,179.512770007851,60,800,809,172.044852768734,24.0460994764,49.8034817992,24.0467861219,49.8003102684,0.358470690368972,21.5082414221383
1054553,39187,2017-07-20 00:29:49,24.0467533,49.8002866,2017-07-20 00:30:49,24.048665,49.7986016,143.78372776439,60,810,817,141.567932065981,24.0467861219,49.8003102684,24.0489399357,49.7985582211,0.252919924680987,15.1751954808592
1054553,39187,2017-07-20 00:30:49,24.048665,49.7986016,2017-07-20 00:31:49,24.0504216,49.7977283,127.602974047415,60,818,822,129.673147568847,24.0489399357,49.7985582211,24.050461418775,49.7977436343,0.142869402517908,8.57216415107446
1054553,39187,2017-07-20 00:31:49,24.0504216,49.7977283,2017-07-20 00:32:49,24.0575166,49.7937033,131.30742387109,60,823,842,130.98268665394,24.050461418775,49.7977436343,24.0574398561,49.793829799,0.66567312135894,39.9403872815364
1054553,39187,2017-07-20 00:32:49,24.0575166,49.7937033,2017-07-20 00:33:49,24.0586783,49.790875,165.148847661641,60,843,854,165.131581531393,24.0574398561,49.793829799,24.0586288785,49.7909385001,0.338220549002077,20.2932329401246
1054553,39187,2017-07-20 00:33:49,24.0586783,49.790875,2017-07-20 00:34:49,24.0588333,49.7870083,178.51747778996,60,855,869,178.42575580574,24.0586288785,49.7909385001,24.0588008741875,49.78689791675,0.452481016444268,27.1488609866561
1054553,39187,2017-07-20 00:34:49,24.0588333,49.7870083,2017-07-20 00:35:49,24.0588366,49.785375,179.925257212958,60,870,874,181.346036104947,24.0588008741875,49.78689791675,24.05875,49.7855,0.158908024683441,9.53448148100644
1054553,39187,2017-07-20 00:40:49,24.05988,49.7850983,2017-07-20 00:41:49,24.0594083,49.7856183,329.643457571093,60,2,5,329.464140959941,24.05987265095,49.78502116245,24.0594139619,49.7855232106,0.0819510763939039,4.91706458363423
1054553,39187,2017-07-20 00:41:49,24.0594083,49.7856183,2017-07-20 00:42:49,24.0591683,49.7905866,358.213769472151,60,9,28,358.969863824995,24.0593342508625,49.78575996125,24.0592,49.79058,0.547158854761558,32.8295312856935
1054553,39187,2017-07-20 00:42:49,24.0591683,49.7905866,2017-07-20 00:43:48,24.0576183,49.7946516,346.171986987978,59,29,43,345.964642969333,24.0592,49.79058,24.05762,49.79466,0.478525721717417,29.1981796302153
1054553,39187,2017-07-20 00:43:48,24.0576183,49.7946516,2017-07-20 00:44:48,24.054825,49.7959083,304.875777789142,60,44,53,304.920364552318,24.05762,49.79466,24.0546367819,49.7960043664,0.264705225753428,15.8823135452057
1054553,39187,2017-07-20 00:44:48,24.054825,49.7959083,2017-07-20 00:45:48,24.0489766,49.7990583,309.844427379017,60,54,70,308.789836892975,24.0546367819,49.7960043664,24.04892,49.79897,0.528907020550228,31.7344212330137
